box_code,box_version,engine_name,cboot_version,asw_version,cal_version,ecm3_address_start,ecm3_address_end,allowed_boxcodes
03F906070A,9688,SIMOS10.10,SA161,SA161EB0,SA100EB0,535184512,535186716,[]
03F906070A,9845,SIMOS10.10,SA161,SA161EB0,SA100EB0,535184512,535186716,[]
03F906070AA,8919,SIMOS10.13,SA381,SA381I23,SA300I23,35144,37372,[]
03F906070AA,9453,SIMOS10.13,SA390,SA390K30,SA300K30,35936,38168,[]
03F906070AA,9664,SIMOS10.13,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070AA,9970,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070AB,2672,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070AB,5553,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070AJ,8609,SIMOS10.12,SA370,SA370G31,SA300G31,34728,36924,[]
03F906070AJ,9668,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070AJ,9970,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070AK,9673,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070AK,9970,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070B,8611,SIMOS10.12,SA370,SA370G31,SA300G31,34728,36924,[]
03F906070B,9156,SIMOS10.12,SA370,SA370G31,SA300G31,34728,36924,[]
03F906070B,9666,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070B,9970,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070BC,7236,SIMOS10.11,SA161,SA161E96,SA100E96,535184400,535186552,"['03F906070BC', '4594', '4891', '5537', '5743', '6257', '6500', '6901', '7236']"
03F906070BC,8263,SIMOS10.11,SA161,SA161EA1,SA100EA1,535184516,535186720,[]
03F906070BC,9683,SIMOS10.11,SA161,SA161EB0,SA100EB0,535184512,535186716,[]
03F906070BC,9840,SIMOS10.11,SA161,SA161EB0,SA100EB0,535184512,535186716,[]
03F906070BD,9178,SIMOS10.13,SA370,SA370G31,SA300G31,34728,36924,[]
03F906070BD,9672,SIMOS10.13,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070BD,9970,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
