code,pcode,name,symbol
14823,P060600,ECM/PCM Processor,SV_ERR_SYM_ACQ_KNK.14823
14824,P157500,Right Electro-Hydraulic Engine Mount Solenoid Valve Short circuit to B+,SV_ERR_SYM_AEB_SCP_0.14824
14825,P157600,Right Electro-Hydraulic Engine Mount Solenoid Valve Short circuit to ground,SV_ERR_SYM_AEB_SCG_0.14825
14826,P157700,Right Electro-Hydraulic Engine Mount Solenoid Valve Open circuit,SV_ERR_SYM_AEB_OC_0.14826
14827,P157100,Left Electro-Hydraulic Engine Mount Solenoid Valve Short circuit to B+,SV_ERR_SYM_AEB_SCP_1.14827
14828,P157200,Left Electro-Hydraulic Engine Mount Solenoid Valve Short circuit to ground,SV_ERR_SYM_AEB_SCG_1.14828
14829,P157300,Left Electro-Hydraulic Engine Mount Solenoid Valve Open circuit,SV_ERR_SYM_AEB_OC_1.14829
14830,P241400,"02 Sensor Exhaust Sample Error, Bank 1 Sensor 1",SV_ERR_SYM_AIR_LSL_UP_1.14830
14831,P138700,Ctrl. module faulty,SV_ERR_SYM_AMP_SCP.14831
14832,P138700,Ctrl. module faulty,SV_ERR_SYM_AMP_SCG.14832
14842,P032700,Knock Sensor 1 Circ. Low Input,SV_ERR_SYM_BAS_KNK_0.14842
14844,P057200,"Brake Switch ""A"" Circuit Low",SV_ERR_SYM_BLS_BTS_PLAUS.14844
14846,P256300,Turbocharger Boost Control Position Sensor Circuit Range/Performance,SV_ERR_SYM_BPA_AD_BOL_1.14846
14847,P226300,Turbocharger/Supercharger Boost System Performance,SV_ERR_SYM_BPA_AD_FIRST_1.14847
14849,P004500,"Turbocharger/Supercharger Boost Control Solenoid ""A"" Circuit/Open",SV_ERR_SYM_BPA_DR_OC_1.14849
14851,P334A00,Charge pressure actuator Electrical error,SV_ERR_SYM_BPA_DR_SC_1.14851
14863,P036600,"Camshaft Pos.Sensor ""B"" Circ. (Bank 1) Range/Performance",SV_ERR_SYM_CAM_PER_EX_1.14863
14864,P034100,Camshaft Pos.Sensor Circ. Range/Performance,SV_ERR_SYM_CAM_PER_IN_1.14864
14865,P036500,"Camshaft Position Sensor ""B"" Circuit (Bank 1)",SV_ERR_SYM_CAM_NO_SIG_EX_1.14865
14866,P034000,Camshaft Position Sensor Circuit,SV_ERR_SYM_CAM_NO_SIG_IN_1.14866
14867,P001700,Crankshaft Position-Camshaft Position Correlation Bank 1 Sensor B,SV_ERR_SYM_CAM_REF_CRK_EX_1.14867
14868,P001600,Crankshaft Position-Camshaft Position Correlation Bank 1 Sensor A,SV_ERR_SYM_CAM_REF_CRK_IN_1.14868
14869,P001400,B Camshaft Position (Bank1) Timing over-advanced or System Performance,SV_ERR_SYM_CAM_STAT_VCP_EX_1.14869
14870,P001100,A Camshaft Position (Bank1) Timing over-advanced or System Performance,SV_ERR_SYM_CAM_STAT_VCP_IN_1.14870
14871,P036600,"Camshaft Pos.Sensor ""B"" Circ. (Bank 1) Range/Performance",SV_ERR_SYM_CAM_SYN_CRK_EX_1.14871
14872,P034100,Camshaft Pos.Sensor Circ. Range/Performance,SV_ERR_SYM_CAM_SYN_CRK_IN_1.14872
14873,P036600,"Camshaft Pos.Sensor ""B"" Circ. (Bank 1) Range/Performance",SV_ERR_SYM_CAM_SYN_EX_1.14873
14874,P034100,Camshaft Pos.Sensor Circ. Range/Performance,SV_ERR_SYM_CAM_SYN_IN_1.14874
14913,P023400,Turbo/Super Charger Overboost Condition,SV_ERR_SYM_CAP_H.14913
14914,P029900,Turbo/Super Charger Underboost,SV_ERR_SYM_CAP_L.14914
14916,P042000,"Catalyst System,Bank1 Efficiency Below Threshold",SV_ERR_SYM_CAT_DIAG_1.14916
14920,P172400,Signal for starter lock Short circuit to ground,SV_ERR_SYM_CLU_SWI_2_SCG.14920
14922,P060600,ECM/PCM Processor,SV_ERR_SYM_CONV_PLAUS.14922
14923,P160900,Crash shut-off was triggered,SV_ERR_SYM_CRASH.14923
14925,P033500,Crankshaft Position Sensor A Circuit,SV_ERR_SYM_CRK_NO_SIG.14925
14926,P033500,Crankshaft Position Sensor A Circuit,SV_ERR_SYM_CRK_SHO_LEVEL.14926
14927,P033600,Crankshaft Position Sensor A Circuit Range/Performance,SV_ERR_SYM_CRK_SYN.14927
14928,P033900,"Crankshaft Position Sensor ""A"" Circuit Intermittent",SV_ERR_SYM_CRK_SYN_STST.14928
