Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
Airflow,kg/hr,x,%01.0f,0x2032,2,FALSE,0,2000,-1000,5000,0,TRUE,Airflow,f
Airmass,mg/stk,f / r * 8333.33333333,%01.0f,0xffff,1,FALSE,0,2000,-1000,5000,0,TRUE,Airflow,
Ambient Press,kpa,x / 120.60176665439,%01.1f,0x13ca,2,FALSE,50,120,70,120,0.9,TRUE,Misc,a
Ambient Temp,°C,x / 128,%01.1f,0x1004,2,TRUE,-40,50,-30,50,0.7,TRUE,Misc,
Battery Voltage,V,x * 0.1015625,%01.1f,0x14a6,1,FALSE,0,2,8,16,0.8,TRUE,Misc,
Boost,psi,(m - a) * 0.1450777202,%01.1f,0xffff,1,FALSE,-15,35,-15,35,0,TRUE,Airflow.Default,
Calc HP,hp,h,%01.0f,0xffff,1,FALSE,0,300,-1000,1000,0,TRUE,Power,
Calc TQ,nm,t,%01.0f,0xffff,1,FALSE,0,500,-1000,1000,0,TRUE,Power,
Cooling Fan,%,x * 0.390625,%01.0f,0x101e,1,FALSE,0,100,-1,110,0,TRUE,Misc,
Coolant Temp,°C,x - 40,%01.1f,0x11cd,1,FALSE,-50,120,-100,130,0,TRUE,Misc,
CPU Load,%,x * 0.09765625,%01.1f,0x14ec,2,FALSE,0,100,-1,90,0,TRUE,Misc,
Cruise,,x,%01.0f,0x203c,2,FALSE,0,1,-1,100,0,TRUE,,c
Engine Speed,rpm,x / 4,%01.0f,0xf40c,2,FALSE,0,7000,-1,6000,0,TRUE,Default,r
Eth Content,%,x / 2.55,%01.1f,0xf452,1,FALSE,0,100,-50,100,0,TRUE,,
Exhaust Cam Pos,°,(x / 10) - 24,%01.1f,0x201a,2,TRUE,-10,10,-50,50,0,TRUE,,
FP DI,bar,x / 10,%01.0f,0x2027,2,FALSE,0,250,-1,300,0,TRUE,,
